mmdd,new_file,new_title,old_file,old_title,match
0128,0128.json,Destiny 2 — Sales,01-28-DESTINY-destiny-2-sales.json,Destiny 2 — Sales,identical
0129,0129.json,Board game — Renaissance era,01-29-BOARD-GAMES-board-game-renaissance-era.json,Board game — Renaissance era,identical
0130,0130.json,The Partition of India (Francisco Cantu),0130.json,The Partition of India (Francisco Cantu),identical
0131,0131.json,Notes on going viral (Isaac James Richards),0131.json,Notes on going viral (Isaac James Richards),identical
0201,0201.json,New Hope (Poland) — Ideology and position,02-01-RENEWAL-new-hope-poland-ideology-and-position.json,New Hope (Poland) — Ideology and position,identical
0202,0202.json,Three Pages of Don Quixote,0202.json,Three Pages of Don Quixote,identical
0203,0203.json,The Hunger for Land (Francisco Cantu),0203.json,The Hunger for Land (Francisco Cantu),identical
0204,0204.json,Land by Maggie O’Farrell,0204.json,Land by Maggie O’Farrell,identical
0205,0205.json,List of conspiracy theories — Flat Earth,02-05-GK--list-of-conspiracy-theories-flat-earth.json,List of conspiracy theories — Flat Earth,identical
0206,0206.json,US banks announce UK expansion projects hours after budget  — The Guardian,02-06-HUMAN-BRAIN-us-banks-announce-uk-expansion-projects-hours-after-budget-the-guardian.json,US banks announce UK expansion projects hours after budget  — The Guardian,identical
0207,0207.json,A Wrinkle in Time by Madeleine L'Engle (1962),02-07-07-21.json,A Wrinkle in Time by Madeleine L'Engle (1962),identical
0208,0208.json,Orbit of the binary star,02-08-RHYTHM-rhythm-and-blues-afro-cuban-rhythmic-influence.json,Rhythm and blues — Afro-Cuban rhythmic influence,different
0209,0209.json,"""This Is Just To Say"" by William Carlos Williams. 1934",02-09-07-06.json,"""This Is Just To Say"" by William Carlos Williams. 1934",identical
0210,0210.json,"Mob Justice Is Trampling Democratic Discourse (by Anne Applebaum, The Atlantic)",,,
0211,0211.json,What makes humans intelligent?,,,
0212,0212.json,AI Is Unlocking the Human Brain’s Secrets,,,
0213,0213.json,Lincoln unclogs traffic jam,,,
0214,0214.json,A Wrinkle in Time by Madeleine L'Engle (1962),,,
0215,0215.json,The Success of Ordinary Indians,02-15_The_Success_of_Ordinary_Indians.json,The Success of Ordinary Indians,identical
0216,0216.json,Fancy a Kulfi? From Granita to Queso Helado,02-16_Fancy_a_Kulfi_From_Granita_to_Queso_Helado.json,Fancy a Kulfi? From Granita to Queso Helado,identical
0217,0217.json,Columbus Lands,02-17_Columbus_Lands.json,Columbus Lands,identical
0218,0218.json,Redesigning the Way We Work,02-18-COLORS-redesigning-the-way-we-work.json,Redesigning the Way We Work,identical
0219,0219.json,The cheapest concession you can make,02-19-NEGOTIATION-the-cheapest-concession-you-can-make.json,The cheapest concession you can make,identical
0220,0220.json,Weddings in Georgia,0220.json,Weddings in Georgia,identical
0221,0221.json,"The ""huntress"" faces a gross backlash",02-21-HOBBIES-the-huntress-faces-a-gross-backlash.json,"The ""huntress"" faces a gross backlash",identical
0222,0222.json,Writers who don’t read,02-22-WRITING-writers-who-dont-read.json,Writers who don’t read,identical
0223,0223.json,In defense of persimmons,02-23-FOLKLORE-in-defense-of-persimmons.json,In defense of persimmons,identical
0224,0224.json,History of India — Trade and travels to India,02-24-ANCIENT-INDIA-history-of-india-trade-and-travels-to-india.json,History of India — Trade and travels to India,identical
0225,0225.json,Jazz — Punk jazz and jazzcore,02-25-JAZZ-MUSIC-jazz-punk-jazz-and-jazzcore.json,Jazz — Punk jazz and jazzcore,identical
0226,0226.json,Robotic surgery — Use in popular media,02-26-ROBOTICS-robotic-surgery-use-in-popular-media.json,Robotic surgery — Use in popular media,identical
0227,0227.json,Lyric poetry — Rome,02-27-LYRICAL-lyric-poetry-rome.json,Lyric poetry — Rome,identical
0228,0228.json,Destiny's Child — 1990–1997: Early beginnings and Girl's Tyme,02-28-DESTINY-destinys-child-19901997-early-beginnings-and-girls-tyme.json,Destiny's Child — 1990–1997: Early beginnings and Girl's Tyme,identical
0229,0229.json,Welcome to Dog World!,0229.json,Welcome to Dog World!,identical
0301,0301.json,Urban renewal — Hong Kong,03-01-RENEWAL-urban-renewal-hong-kong.json,Urban renewal — Hong Kong,identical
0302,0302.json,Manifest Destiny (Francisco Cantu),0302.json,Manifest Destiny (Francisco Cantu),identical
0303,0303.json,Film noir — 1960s and 1970s,03-03-NOIR-film-noir-1960s-and-1970s.json,Film noir — 1960s and 1970s,identical
0304,0304.json,Moby Dick (1851),,,
0305,0305.json,The Kingdom of the Lotus,0305.json,The Kingdom of the Lotus,identical
0306,0306.json,‘We’re no longer attracting top talent’: the brain drain killing American science  — The Guardian,03-06-HUMAN-BRAIN-were-no-longer-attracting-top-talent-the-brain-drain-killing-american-science-the-guardian.json,‘We’re no longer attracting top talent’: the brain drain killing American science  — The Guardian,identical
0307,0307.json,Losing grip on games is worry for Guardiola despite City finding way past Madrid,,,
0308,0308.json,relative distances of the planets,,,
0309,0309.json,Their Eyes Were Watching God by Zora Neale Hurston (1937),03-09-Their_Eyes_Were_Watching_God_Zora_Neale_Hurston.json,Their Eyes Were Watching God by Zora Neale Hurston (1937),identical
0310,0310.json,Clive Myrie’s African Adventure,,,
0311,0311.json,Three major things most people get wrong about the brain,,,
0312,0312.json,Scanning Brain Thoughts,,,
0313,0313.json,Lincoln's Idea,,,
0314,0314.json,Their Eyes Were Watching God by Zora Neale Hurston (1937),,,
0315,0315.json,Temples Where Gods Come to Life,03-15_Temples_Where_Gods_Come_to_Life.json,Temples Where Gods Come to Life,identical
0316,0316.json,The Unified Theory of Deliciousness,03-16_The_Unified_Theory_of_Deliciousness.json,The Unified Theory of Deliciousness,identical
0317,0317.json,Geographic Analysis,03-17_Geographic_Analysis.json,Geographic Analysis,identical
0318,0318.json,"Northern Lights, Manitoba",03-18-COLORS-northern-lights-manitoba.json,"Northern Lights, Manitoba",identical
0319,0319.json,5 things you can negotiate to save money,03-19-NEGOTIATION-5-things-you-can-negotiate-to-save-money.json,5 things you can negotiate to save money,identical
0320,0320.json,The Future of Wearables,03-20-COOL-GADGETS-the-future-of-wearables.json,The Future of Wearables,identical
0321,0321.json,Harriet the Spy,03-21-HOBBIES-harriet-the-spy.json,Harriet the Spy,identical
0322,0322.json,Story writers tell all,03-22-WRITING-story-writers-tell-all.json,Story writers tell all,identical
0323,0323.json,"Fairy tales, fantasy and dangerous female desire",03-23-FOLKLORE-fairy-tales-fantasy-and-dangerous-female-desire.json,"Fairy tales, fantasy and dangerous female desire",identical
0324,0324.json,History of India — Early medieval period (c. 650 – 1200),03-24-ANCIENT-INDIA-history-of-india-early-medieval-period-c-650-1200.json,History of India — Early medieval period (c. 650 – 1200),identical
0325,0325.json,Frank Sinatra Has a Cold - 2,0325.json,Frank Sinatra Has a Cold - 2,identical
0326,0326.json,Robotic surgery — Ophthalmology,03-26-ROBOTICS-robotic-surgery-ophthalmology.json,Robotic surgery — Ophthalmology,identical
0327,0327.json,Lyrical Ballads — Volume II,03-27-LYRICAL-lyrical-ballads-volume-ii.json,Lyrical Ballads — Volume II,identical
0328,0328.json,Destiny (streamer) — Political violence,03-28-DESTINY-destiny-streamer-political-violence.json,Destiny (streamer) — Political violence,identical
0329,0329.json,Hotel (board game) — Reception,03-29-BOARD-GAMES-hotel-board-game-reception.json,Hotel (board game) — Reception,identical
0330,0330.json,Miracle on Ice — Third period,03-30-MIRACLE-miracle-on-ice-third-period.json,Miracle on Ice — Third period,identical
0331,0331.json,Rhythm and blues — Precursors,03-31-RHYTHM-rhythm-and-blues-precursors.json,Rhythm and blues — Precursors,identical
0401,0401.json,JD Vance — Zelenskyy White House visit,04-01-RENEWAL-jd-vance-zelenskyy-white-house-visit.json,JD Vance — Zelenskyy White House visit,identical
0402,0402.json,Geographic information system — Terrain depiction,04-02-INFO-geographic-information-system-terrain-depiction.json,Geographic information system — Terrain depiction,identical
0403,0403.json,Neo-noir — History,04-03-NOIR-neo-noir-history.json,Neo-noir — History,identical
0404,0404.json,Your Lifestyle Has Already Been Designed,0404.json,Your Lifestyle Has Already Been Designed,identical
0405,0405.json,Sketch review – googly-eyed fuzzballs come to glitter-burping life in fun kids fantasy yarn — The Guardian,04-05-old_0810.json,Sketch review – googly-eyed fuzzballs come to glitter-burping life in fun kids fantasy yarn — The Guardian,identical
0406,0406.json,Donald Trump is waging war against human conscience — The Guardian,04-06-HUMAN-BRAIN-donald-trump-is-waging-war-against-human-conscience-the-guardian.json,Donald Trump is waging war against human conscience — The Guardian,identical
0407,0407.json,Sharing some truth (How to Write One Song • By Jeff Tweedy),04-07-Sedaris.json,Sharing some truth (How to Write One Song • By Jeff Tweedy),identical
0408,0408.json,slackening angular speed,,,
0409,0409.json,Fear and Loathing in Las Vegas by Hunter S. Thompson (1971),04-09-Loathing.json,Fear and Loathing in Las Vegas by Hunter S. Thompson (1971),identical
0410,0410.json,Wild Cherry,,,
0411,0411.json,Myth - The brain is region specific,,,
0412,0412.json,A New Genetic Clue to How Humans Got Such Big Brains,,,
0413,0413.json,Otis' invention,,,
0414,0414.json,"Young Creators Are Burning Out and Breaking Down (by Taylor Lorenz, The New York Times)",04-14-burnout.json,"Young Creators Are Burning Out and Breaking Down (by Taylor Lorenz, The New York Times)",identical
0415,0415.json,British Fighter Jet Takes Unexpected Detour to India,04-15_British_Fighter_Jet_Takes_Unexpected_Detour_to_India.json,British Fighter Jet Takes Unexpected Detour to India,identical
0416,0416.json,The Burning Desire for Hot Chicken,04-16_The_Burning_Desire_for_Hot_Chicken.json,The Burning Desire for Hot Chicken,identical
0417,0417.json,Relative Locations,04-17_Relative_Locations.json,Relative Locations,identical
0418,0418.json,The Real Difference Between Warm and Cool Colors,04-18-COLORS-the-real-difference-between-warm-and-cool-colors.json,The Real Difference Between Warm and Cool Colors,identical
0419,0419.json,How I learned to haggle,04-19-NEGOTIATION-how-i-learned-to-haggle.json,How I learned to haggle,identical
0420,0420.json,"Drink Whole Milk, Eat Red Meat, and Use ChatGPT",04-20-COOL-GADGETS-drink-whole-milk-eat-red-meat-and-use-chatgpt.json,"Drink Whole Milk, Eat Red Meat, and Use ChatGPT",identical
0421,0421.json,The Bizarre Relationship,04-21-HOBBIES-the-bizarre-relationship.json,The Bizarre Relationship,identical
0422,0422.json,Learn how to become a better writer,04-22-WRITING-learn-how-to-become-a-better-writer.json,Learn how to become a better writer,identical
0423,0423.json,A nation of truthers,04-23-FOLKLORE-a-nation-of-truthers.json,A nation of truthers,identical
0424,0424.json,History of India — Famines,04-24-ANCIENT-INDIA-history-of-india-famines.json,History of India — Famines,identical
0425,0425.json,Jazz — Jazz and race,04-25-JAZZ-MUSIC-jazz-jazz-and-race.json,Jazz — Jazz and race,identical
0426,0426.json,Robotics — Locomotion,04-26-ROBOTICS-robotics-locomotion.json,Robotics — Locomotion,identical
0427,0427.json,"Ulaanbaatar, Mongolia",0427.json,"Ulaanbaatar, Mongolia",identical
0428,0428.json,Being born in the wrong ZIP code can shorten your life,04-28-Being_born_in_the_wrong_ZIP_code_can_shorten_your_life.json,Being born in the wrong ZIP code can shorten your life,identical
0429,0429.json,Tristan da Cunha,0429.json,Tristan da Cunha,identical
0430,0430.json,Miracle on Ice — Popular culture,04-30-MIRACLE-miracle-on-ice-popular-culture.json,Miracle on Ice — Popular culture,identical
0501,0501.json,Your Lifestyle Has Already Been Designed,0501.json,Your Lifestyle Has Already Been Designed,identical
0502,0502.json,Common knowledge,05-02-INFO-common-knowledge.json,Common knowledge,identical
0503,0503.json,Frank Sinatra Has a Cold,0503.json,Frank Sinatra Has a Cold,identical
0504,0504.json,The Gadsden Region (Francisco Cantu),0504.json,The Gadsden Region (Francisco Cantu),identical
0505,0505.json,Conspiracy theories — New England Patriots,05-05-GK--list-of-conspiracy-theories-new-england-patriots.json,Conspiracy theories — New England Patriots,identical
0506,0506.json,"Brain has five ‘eras’, scientists say – with adult mode not starting until early 30s — The Guardian",05-06-HUMAN-BRAIN-brain-has-five-eras-scientists-say-with-adult-mode-not-starting-until-early-30s-the-guardian.json,"Brain has five ‘eras’, scientists say – with adult mode not starting until early 30s — The Guardian",identical
0507,0507.json,Liverpool out of tune but Arne Slot working on finding better rhythm,,,
0508,0508.json,A Variable Star,,,
0509,0509.json,Todd Sampson — Early life and education,,,
0510,0510.json,The Firework-Maker’s Daughter,,,
0511,0511.json,Human Brains and Evolution,,,
0512,0512.json,Human-only DNA,,,
0513,0513.json,The history of the elevator,,,
0514,0514.json,Rhythm and blues — Afro-Cuban rhythmic influence,,,
0515,0515.json,A Maharaja Bows to the Present,05-15_A_Maharaja_Bows_to_the_Present.json,A Maharaja Bows to the Present,identical
0516,0516.json,Lush Life Lahore,05-16_Lush_Life_Lahore.json,Lush Life Lahore,identical
0517,0517.json,Coordinate Systems,05-17_Coordinate_Systems.json,Coordinate Systems,identical
0518,0518.json,Here's Every New Republic Cover,05-18-COLORS-heres-every-new-republic-cover.json,Here's Every New Republic Cover,identical
0519,0519.json,What's the Best Way to Get a Raise?,05-19-NEGOTIATION-whats-the-best-way-to-get-a-raise.json,What's the Best Way to Get a Raise?,identical
0520,0520.json,Privacy,05-20-COOL-GADGETS-privacy.json,Privacy,identical
0521,0521.json,It’s Okay to Start Small,05-21-HOBBIES-its-okay-to-start-small.json,It’s Okay to Start Small,identical
0522,0522.json,A Conversation with Donald Hall,05-22-WRITING-a-conversation-with-donald-hall.json,A Conversation with Donald Hall,identical
0523,0523.json,A Grim Fairy Tale,05-23-FOLKLORE-a-grim-fairy-tale.json,A Grim Fairy Tale,identical
0524,0524.json,History of India — Maurya Empire,05-24-ANCIENT-INDIA-history-of-india-maurya-empire.json,History of India — Maurya Empire,identical
0525,0525.json,Jazz — Blended African and European music sensibilities,05-25-JAZZ-MUSIC-jazz-blended-african-and-european-music-sensibilities.json,Jazz — Blended African and European music sensibilities,identical
0526,0526.json,Robotic surgery — Bone,05-26-ROBOTICS-robotic-surgery-bone.json,Robotic surgery — Bone,identical
0527,0527.json,A Tale of Two Cities by Charles Dickens,05-27-07-04.json,A Tale of Two Cities by Charles Dickens,identical
0528,0528.json,Destiny — Politics,05-28-DESTINY-destiny-politics.json,Destiny — Politics,identical
0529,0529.json,Daryl Hannah — Other work,05-29-BOARD-GAMES-daryl-hannah-other-work.json,Daryl Hannah — Other work,identical
0530,0530.json,Being born in the wrong ZIP code can shorten your life,05-30-old_0817.json,Being born in the wrong ZIP code can shorten your life,identical
0531,0531.json,An experiment for students to grasp by lessons,0531.json,An experiment for students to grasp by lessons,identical
0601,0601.json,JD Vance — Opinion polls,06-01-RENEWAL-jd-vance-opinion-polls.json,JD Vance — Opinion polls,identical
0602,0602.json,Is Chernobyl Safe?,0602.json,Is Chernobyl Safe?,identical
0603,0603.json,Film noir — Music,06-03-NOIR-film-noir-music.json,Film noir — Music,identical
0604,0604.json,List of conspiracy theories — Black helicopters,06-04-CONSPIRACY-list-of-conspiracy-theories-black-helicopters.json,List of conspiracy theories — Black helicopters,identical
0605,0605.json,General knowledge — Personality,06-05-GK--general-knowledge-personality.json,General knowledge — Personality,identical
0606,0606.json,England’s zombies have rapidly descended into collective brain fog in Six Nations — The Guardian,06-06-HUMAN-BRAIN-englands-zombies-have-rapidly-descended-into-collective-brain-fog-in-six-nations-the-guardian.json,England’s zombies have rapidly descended into collective brain fog in Six Nations — The Guardian,identical
0607,0607.json,UK considers new Russia sanctions after Navalny frog toxin finding,06-07-RHYTHM-rhythm-and-blues-afro-cuban-rhythmic-influence.json,Rhythm and blues — Afro-Cuban rhythmic influence,different
0608,0608.json,Canals,,,
0609,0609.json,Documentary film — Hybrid documentary,,,
0610,0610.json,Sunny Nights,,,
0611,0611.json,ClueChain Challenge,,,
0612,0612.json,What’s it like to be a baby?,,,
0613,0613.json,The Otis Difference,,,
0614,0614.json,Rhythm — Anthropology,,,
0615,0615.json,"36 Hours in Bangalore, India",06-15_36_Hours_in_Bangalore_India.json,"36 Hours in Bangalore, India",identical
0616,0616.json,My Wine Accumulation,06-16_My_Wine_Accumulation.json,My Wine Accumulation,identical
0617,0617.json,The Frenzy by Joyce Carol Oates,0617.json,The Frenzy by Joyce Carol Oates,identical
0618,0618.json,A Brief History of The New Republic,06-18-COLORS-a-brief-history-of-the-new-republic.json,A Brief History of The New Republic,identical
0619,0619.json,The Diplomatic Path to a Secure Ukraine,06-19-NEGOTIATION-the-diplomatic-path-to-a-secure-ukraine.json,The Diplomatic Path to a Secure Ukraine,identical
0620,0620.json,Wealth of Memory,06-20-COOL-GADGETS-wealth-of-memory.json,Wealth of Memory,identical
0621,0621.json,The Rage of the Almost-Elite,06-21-HOBBIES-the-rage-of-the-almost-elite.json,The Rage of the Almost-Elite,identical
0622,0622.json,A Window To The World,06-22-WRITING-a-window-to-the-world.json,A Window To The World,identical
0623,0623.json,Holy Water (Esquire),0623.json,Holy Water (Esquire),identical
0624,0624.json,Mother Georgia,0624.json,Mother Georgia,identical
0625,0625.json,Jazz — Machito and Mario Bauza,06-25-JAZZ-MUSIC-jazz-machito-and-mario-bauza.json,Jazz — Machito and Mario Bauza,identical
0626,0626.json,The Glass Jar by Sylvia Plath (1963),06-26-jar.json,The Glass Jar by Sylvia Plath (1963),identical
0627,0627.json,"Mob Justice Is Trampling Democratic Discourse (by Anne Applebaum, The Atlantic)",06-27-07-01.json,"Mob Justice Is Trampling Democratic Discourse (by Anne Applebaum, The Atlantic)",identical
0628,0628.json,Circadian rhythm — In Drosophila,06-28-old_0814.json,Circadian rhythm — In Drosophila,identical
0629,0629.json,This War of Mine: The Board Game — Overview,06-29-BOARD-GAMES-this-war-of-mine-the-board-game-overview.json,This War of Mine: The Board Game — Overview,identical
0630,0630.json,Miracle on Ice — Silver medal,06-30-MIRACLE-miracle-on-ice-silver-medal.json,Miracle on Ice — Silver medal,identical
0701,0701.json,Urban renewal — South Africa,07-01-RENEWAL-urban-renewal-south-africa.json,Urban renewal — South Africa,identical
0702,0702.json,Relevance (information retrieval) — History,07-02-INFO-relevance-information-retrieval-history.json,Relevance (information retrieval) — History,identical
0703,0703.json,Spider-Noir — Release,07-03-NOIR-spider-noir-release.json,Spider-Noir — Release,identical
0704,0704.json,Pizzagate conspiracy theory — Public opinion,07-04-CONSPIRACY-pizzagate-conspiracy-theory-public-opinion.json,Pizzagate conspiracy theory — Public opinion,identical
0705,0705.json,General knowledge — Intelligence,07-05-GK--general-knowledge-intelligence.json,General knowledge — Intelligence,identical
0706,0706.json,Democrats activate weeklong voter drive to offset critical registration losses — The Guardian,07-06-HUMAN-BRAIN-democrats-activate-weeklong-voter-drive-to-offset-critical-registration-losses-the-guardian.json,Democrats activate weeklong voter drive to offset critical registration losses — The Guardian,identical
0707,0707.json,On the ‘cut-and-paste’ Mentality by Susan Greenfield ClueChain,07-07_cut_paste.json,On the ‘cut-and-paste’ Mentality by Susan Greenfield ClueChain,identical
0708,0708.json,Sundial curiosity,07-08_Patti.json,The Videos That Rocked America. The Song That Knows Our Rage. ClueChain,different
0709,0709.json,The Law of Compensation by Ralph Waldo Emerson,07-09.json,The Law of Compensation by Ralph Waldo Emerson,identical
0710,0710.json,The Running Man,07-10_kitchen_sink.json,I Capture the Castle by Dodie Smith (1948),different
0711,0711.json,The Death Years (Mahreen Sohail ),0711.json,The Death Years (Mahreen Sohail ),identical
0712,0712.json,Neuroscience and baby brains,07-12_paradise.json,Paradise by Toni Morrison (1997),different
0713,0713.json,The electric Horse,07-13_Tolstoy.json,Anna Karenina by Leo Tolstoy (1878),different
0714,0714.json,Rhythm and blues — Afro-Cuban rhythmic influence,07-14_slaughterhouse.json,Slaughterhouse Five (Kurt Vonnegut) 1969,different
0715,0715.json,Metamorphosis by Franz Kafka (1915),07-15_Kafka.json,Metamorphosis by Franz Kafka (1915),identical
0716,0716.json,—Nineteen Eighty-Four by George Orwell (1949),07-16_1984.json,—Nineteen Eighty-Four by George Orwell (1949),identical
0717,0717.json,The Invisible City Beneath Paris,0717.json,The Invisible City Beneath Paris,identical
0718,0718.json,"Mustard, the Color of Millennial Candidates",07-18-COLORS-mustard-the-color-of-millennial-candidates.json,"Mustard, the Color of Millennial Candidates",identical
0719,0719.json,I’ve studied conflict resolution,07-19-NEGOTIATION-ive-studied-conflict-resolution.json,I’ve studied conflict resolution,identical
0720,0720.json,Inside the Mind of an Ecoterrorist,07-20-COOL-GADGETS-inside-the-mind-of-an-ecoterrorist.json,Inside the Mind of an Ecoterrorist,identical
0721,0721.json,Holding up the rear,07-21-HOBBIES-holding-up-the-rear.json,Holding up the rear,identical
0722,0722.json,On Writing Habits And Rituals,07-22-WRITING-on-writing-habits-and-rituals.json,On Writing Habits And Rituals,identical
0723,0723.json,"On Sardinia, the Magic of Heading Inland",07-23-FOLKLORE-on-sardinia-the-magic-of-heading-inland.json,"On Sardinia, the Magic of Heading Inland",identical
0724,0724.json,History of India — Gupta Empire,07-24-ANCIENT-INDIA-history-of-india-gupta-empire.json,History of India — Gupta Empire,identical
0725,0725.json,Jazz — Afro-Cuban influence,07-25-JAZZ-MUSIC-jazz-afro-cuban-influence.json,Jazz — Afro-Cuban influence,identical
0726,0726.json,Robot — Mesopotamia,07-26-ROBOTICS-robot-mesopotamia.json,Robot — Mesopotamia,identical
0727,0727.json,Petrarch — Mount Ventoux,07-27-LYRICAL-petrarch-mount-ventoux.json,Petrarch — Mount Ventoux,identical
0728,0728.json,Destiny 2 — 2019,07-28-DESTINY-destiny-2-2019.json,Destiny 2 — 2019,identical
0729,0729.json,This War of Mine: The Board Game — Since publication,07-29-BOARD-GAMES-this-war-of-mine-the-board-game-since-publication.json,This War of Mine: The Board Game — Since publication,identical
0730,0730.json,Miracle — Judaism,07-30-MIRACLE-miracle-judaism.json,Miracle — Judaism,identical
0731,0731.json,Rhythm and blues — Afro-Cuban rhythmic influence,07-31-RHYTHM-rhythm-and-blues-afro-cuban-rhythmic-influence.json,Rhythm and blues — Afro-Cuban rhythmic influence,identical
0801,0801.json,Urban renewal — Brazil,08-01-RENEWAL-urban-renewal-brazil.json,Urban renewal — Brazil,identical
0802,0802.json,Retrieval-augmented generation — Language model,08-02-INFO-retrieval-augmented-generation-language-model.json,Retrieval-augmented generation — Language model,identical
0803,0803.json,Noir (film) — Overview,08-03-NOIR-noir-film-overview.json,Noir (film) — Overview,identical
0804,0804.json,Thanksgiving in Mongolia,0804.json,Thanksgiving in Mongolia,identical
0805,0805.json,Take Nothing Leave Nothing,0805.json,Take Nothing Leave Nothing,identical
0806,0806.json,"Human activity helped make 2025 third-hottest year on record, experts say — The Guardian",08-06-HUMAN-BRAIN-human-activity-helped-make-2025-third-hottest-year-on-record-experts-say-the-guardian.json,"Human activity helped make 2025 third-hottest year on record, experts say — The Guardian",identical
0807,0807.json,Only Disconnect by By Gary Shteyngart,,,
0808,0808.json,An irrational sports allegiance,,,
0809,0809.json,A barber you’d trust with your life,,,
0810,0810.json,Aggressive Hospitality,,,
0811,0811.json,How to think about the Sublime,,,
0812,0812.json,What my dog taught me,,,
0813,0813.json,Rethinking my mother's story,,,
0814,0814.json,A professor who belongs,,,
0815,0815.json,Living Landscapes Of Ladakh ,08-15_Living_Landscapes_Of_Ladakh.json,Living Landscapes Of Ladakh ,identical
0816,0816.json,Nestle's Half-Billion Dollar Noodle Debacle,08-16_Nestles_Half-Billion_Dollar_Noodle_Debacle.json,Nestle's Half-Billion Dollar Noodle Debacle,identical
0817,0817.json,A Lab Accident Changed my Approach,,,
0818,0818.json,"Verdigris: The Color of Oxidation, Statues, and Impermanence",08-18-COLORS-verdigris-the-color-of-oxidation-statues-and-impermanence.json,"Verdigris: The Color of Oxidation, Statues, and Impermanence",identical
0819,0819.json,Negotiation,08-19-NEGOTIATION-negotiation.json,Negotiation,identical
0820,0820.json,Catching up with Geoff Dyer,08-20-COOL-GADGETS-catching-up-with-geoff-dyer.json,Catching up with Geoff Dyer,identical
0821,0821.json,Bio Bay,0821.json,Bio Bay,identical
0822,0822.json,Subject matter matters,08-22-WRITING-subject-matter-matters.json,Subject matter matters,identical
0823,0823.json,Naïve witchcraft beliefs in Acadian,08-23-FOLKLORE-naïve-witchcraft-beliefs-in-acadian.json,Naïve witchcraft beliefs in Acadian,identical
0824,0824.json,History of India — Mahajanapadas,08-24-ANCIENT-INDIA-history-of-india-mahajanapadas.json,History of India — Mahajanapadas,identical
0825,0825.json,Jazz — Jazz pluralism,08-25-JAZZ-MUSIC-jazz-jazz-pluralism.json,Jazz — Jazz pluralism,identical
0826,0826.json,Robotic surgery — Gastrointestinal,08-26-ROBOTICS-robotic-surgery-gastrointestinal.json,Robotic surgery — Gastrointestinal,identical
0827,0827.json,fMRI on infants,08-27-old_0812.json,fMRI on infants,identical
0828,0828.json,Indiana Jones and the Dial of Destiny — Marketing,08-28-DESTINY-indiana-jones-and-the-dial-of-destiny-marketing.json,Indiana Jones and the Dial of Destiny — Marketing,identical
0829,0829.json,This War of Mine: The Board Game — Variants and expansions,08-29-BOARD-GAMES-this-war-of-mine-the-board-game-variants-and-expansions.json,This War of Mine: The Board Game — Variants and expansions,identical
0830,0830.json,Miracle on Ice — Second period,08-30-MIRACLE-miracle-on-ice-second-period.json,Miracle on Ice — Second period,identical
