timestamp,mmdd,title,category,reason_code,attempts,duration_s,error_detail
2026-02-27T14:15:12Z,1111,The average human brain size is growing,?,RATE_LIMIT,1,4.4,"Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'meta-llama/llama-3.3-70b-instruct:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations', 'p"
2026-02-28T01:29:55Z,0113,"Abraham Lincoln, master inventor",INVENTIONS,EXHAUSTED:SUBPROCESS_ERROR,3,0.3,❌ Error: GROQ_API_KEY not set. Add it to your .env file.
2026-02-28T01:30:01Z,0213,Lincoln unclogs traffic jam,INVENTIONS,EXHAUSTED:SUBPROCESS_ERROR,3,0.3,❌ Error: GROQ_API_KEY not set. Add it to your .env file.
2026-02-28T01:30:08Z,0313,Lincoln's Idea,INVENTIONS,EXHAUSTED:SUBPROCESS_ERROR,3,0.3,❌ Error: GROQ_API_KEY not set. Add it to your .env file.
2026-02-28T01:30:14Z,0413,Otis' invention,INVENTIONS,EXHAUSTED:SUBPROCESS_ERROR,3,0.3,❌ Error: GROQ_API_KEY not set. Add it to your .env file.
2026-02-28T01:30:20Z,0513,The history of the elevator,INVENTIONS,EXHAUSTED:SUBPROCESS_ERROR,3,0.3,❌ Error: GROQ_API_KEY not set. Add it to your .env file.
2026-02-28T01:30:27Z,0613,The Otis Difference,INVENTIONS,EXHAUSTED:SUBPROCESS_ERROR,3,0.4,❌ Error: GROQ_API_KEY not set. Add it to your .env file.
2026-02-28T01:30:33Z,0713,,INVENTIONS,EXHAUSTED:SUBPROCESS_ERROR,3,0.3,❌ Error: GROQ_API_KEY not set. Add it to your .env file.
2026-02-28T01:30:39Z,0813,,INVENTIONS,EXHAUSTED:SUBPROCESS_ERROR,3,0.3,❌ Error: GROQ_API_KEY not set. Add it to your .env file.
2026-02-28T01:30:46Z,0913,,INVENTIONS,EXHAUSTED:SUBPROCESS_ERROR,3,0.3,❌ Error: GROQ_API_KEY not set. Add it to your .env file.
2026-02-28T01:30:52Z,1013,,INVENTIONS,EXHAUSTED:SUBPROCESS_ERROR,3,0.3,❌ Error: GROQ_API_KEY not set. Add it to your .env file.
2026-02-28T01:30:58Z,1113,,INVENTIONS,EXHAUSTED:SUBPROCESS_ERROR,3,0.3,❌ Error: GROQ_API_KEY not set. Add it to your .env file.
2026-02-28T01:31:05Z,1213,,INVENTIONS,EXHAUSTED:SUBPROCESS_ERROR,3,0.3,❌ Error: GROQ_API_KEY not set. Add it to your .env file.
2026-02-28T03:25:10Z,1013,Nikola Tesla Web Comic,?,TITLE_WORD_VIOLATION,1,3.7,Hidden words contain title words: ['Web']
2026-02-28T03:25:13Z,1013,Nikola Tesla Web Comic,?,TITLE_WORD_VIOLATION,1,3.0,Hidden words contain title words: ['Web']
2026-02-28T03:25:18Z,1013,Nikola Tesla Web Comic,?,TITLE_WORD_VIOLATION,1,3.7,Hidden words contain title words: ['Web']
2026-02-28T03:25:18Z,1013,Nikola Tesla Web Comic,INVENTIONS,EXHAUSTED:TITLE_WORD_VIOLATION,3,12.5,❌ Error: [groq] Failed after 3 attempts: Hidden words contain title words: ['Web']
